User_ID,Name,Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login
1,James Martinez,19,France,Premium,115.5744,Drama,2022-05-12
2,John Miller,29,USA,Premium,441.474462,Sci-Fi,2023-02-05
3,Emma Davis,37,UK,Basic,28.198773,Comedy,2023-01-24
4,Emma Miller,46,USA,Premium,205.507692,Documentary,2022-03-25
5,Jane Smith,34,USA,Standard,1247.6541671999996,Drama,2023-01-14
6,David Johnson,66,USA,Standard,49.2744,Romance,2023-02-03
7,John Hernandez,46,Canada,Standard,593.572779,Romance,2023-01-05
8,Katie Hernandez,47,USA,Standard,57.08119919999999,Sci-Fi,2022-10-30
9,James Williams,36,UK,Basic,746.524998,Action,2022-04-16
10,Alex Davis,39,Mexico,Standard,27.8664,Romance,2022-07-03
11,Jane Miller,54,Japan,Standard,114.10344239999996,Action,2022-09-11
12,Jane Martinez,27,USA,Standard,672.8660805599999,Action,2022-06-12
13,Alex Martinez,47,Australia,Premium,279.9348792,Comedy,2022-08-08
14,Alex Smith,15,Germany,Premium,106.0272,Sci-Fi,2022-10-02
15,Michael Jones,50,USA,Premium,142.9845129,Sci-Fi,2022-07-25
16,Chris Miller,19,Australia,Premium,1106.1935999999998,Comedy,2022-10-11
17,Chris Davis,30,UK,Standard,837.9439127999998,Drama,2022-07-03
18,Emma Williams,17,Canada,Premium,1171.3824,Documentary,2022-08-08
19,Alex Johnson,21,Brazil,Premium,1322.21429856,Action,2022-08-08
20,John Jones,38,Canada,Standard,361.89342,Comedy,2022-12-07
21,Michael Williams,36,France,Standard,874.6202527199996,Horror,2023-01-21
22,James Martinez,46,UK,Premium,243.97564960000005,Comedy,2022-04-19
23,Sarah Davis,45,UK,Basic,177.4929336,Drama,2022-04-08
24,John Smith,33,UK,Basic,533.62496664,Horror,2022-10-16
25,Alex Brown,25,Canada,Basic,602.208,Horror,2022-05-26
26,Chris Johnson,19,Brazil,Premium,137.4624,Sci-Fi,2022-08-23
27,James Jones,27,Mexico,Standard,347.9655744,Documentary,2022-09-29
28,Michael Johnson,38,France,Premium,735.454485,Comedy,2023-01-07
29,Michael Johnson,38,Mexico,Basic,386.79837741,Drama,2022-11-03
30,Sarah Smith,31,Australia,Basic,744.4624672799998,Action,2023-02-11
31,Chris Jones,39,Germany,Premium,64.340973,Drama,2022-08-06
32,John Williams,32,Canada,Standard,780.53508144,Sci-Fi,2023-02-01
33,Jane Brown,16,UK,Standard,96.8832,Sci-Fi,2022-07-21
34,David Davis,28,Mexico,Basic,328.522484,Documentary,2022-07-11
35,Emma Hernandez,42,India,Basic,36.24157971,Sci-Fi,2022-12-04
36,Michael Jones,50,UK,Basic,280.08330093,Comedy,2022-06-06
37,Sarah Williams,18,Germany,Basic,1198.95552,Comedy,2022-06-28
38,David Martinez,26,Brazil,Premium,592.21380744,Drama,2022-08-08
39,Emma Smith,26,USA,Standard,19.44,Comedy,2022-10-27
